Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
29662292,01/07/2015 12:00:00 AM,01/11/2015 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10035,236 EAST 118 STREET,EAST 118 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",01/11/2015 12:00:00 AM,11 MANHATTAN,1016670031,MANHATTAN,1001375,230330,PHONE,Unspecified,MANHATTAN,,,,,,,,40.798862,-73.9381478,"(40.798862, -73.9381478)"
20530993,05/30/2011 08:42:51 PM,05/31/2011 06:57:20 AM,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,Street,11413,229-08 148 AVENUE,148 AVENUE,229 STREET,230 STREET,,,ADDRESS,SPRINGFIELD GARDENS,,N/A,Closed,06/09/2011 08:42:51 PM,The condition was inspected and it was determined that no work order was necessary. The condition will not be inspected again for at least 90 days.,05/31/2011 06:57:20 AM,13 QUEENS,4137170036,QUEENS,1052580,178597,PHONE,Unspecified,QUEENS,,,,,,,,40.6566205,-73.7537311,"(40.6566205, -73.7537311)"
19198603,11/24/2010 08:18:00 AM,11/27/2010 12:00:00 PM,DSNY,Brooklyn South 10,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11209,8045 SHORE ROAD,SHORE ROAD,80 STREET,82 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,11/27/2010 12:00:00 PM,10 BROOKLYN,3059750185,BROOKLYN,973180,168907,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
19349369,12/15/2010 02:38:36 PM,12/23/2010 04:18:57 PM,DHS,DHS Advantage Programs,DHS Advantage - Tenant,Lease Expiring,Tenant Address,10472,,,,,,,ADDRESS,BRONX,,N/A,Closed,12/22/2010 06:30:59 PM,See notes.,12/23/2010 04:18:57 PM,09 BRONX,,BRONX,,,PHONE,Unspecified,BRONX,,,,,,,,,,
31830127,10/25/2015 11:07:26 AM,10/29/2015 07:27:27 AM,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10301,411 JERSEY STREET,JERSEY STREET,,,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/29/2015 07:27:27 AM,01 STATEN ISLAND,5000420010,STATEN ISLAND,959960,171856,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6383483,-74.0875198,"(40.6383483, -74.0875198)"
41659569,02/09/2019 11:58:11 PM,02/10/2019 06:52:30 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10461,1556 WILLIAMBRIDGE ROAD,WILLIAMBRIDGE ROAD,SACKET AVENUE,PIERCE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,02/10/2019 07:58:11 AM,This complaint does not fall under the Police Department's jurisdiction.,02/10/2019 06:52:30 PM,11 BRONX,2040880003,BRONX,1026260,247626,MOBILE,Unspecified,BRONX,,,,,,,,40.8462513,-73.8481598,"(40.8462513, -73.8481598)"
43145369,06/28/2019 02:08:05 PM,07/30/2019 01:47:02 PM,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10460,1730 TAYLOR AVENUE,TAYLOR AVENUE,VAN NEST AVENUE,MORRIS PARK AVENUE,VAN NEST AVENUE,MORRIS PARK AVENUE,ADDRESS,BRONX,,,Closed,07/28/2019 02:08:05 PM,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",07/30/2019 05:47:06 PM,11 BRONX,2040210045,BRONX,1020420,246288,PHONE,Unspecified,BRONX,,,,,,,,40.8426047,-73.869275,"(40.8426047, -73.869275)"
26273401,09/07/2013 12:00:00 AM,09/11/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11374,98-10 64 AVENUE,64 AVENUE,98 STREET,99 STREET,,,ADDRESS,Rego Park,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/11/2013 12:00:00 AM,06 QUEENS,4021010001,QUEENS,1023603,205423,PHONE,Unspecified,QUEENS,,,,,,,,,,
44086942,10/18/2019 06:15:15 PM,10/18/2019 10:30:33 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10013,52 HOWARD STREET,HOWARD STREET,BROADWAY,MERCER STREET,BROADWAY,MERCER STREET,,NEW YORK,HOWARD STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/19/2019 02:30:35 AM,02 MANHATTAN,1002310016,MANHATTAN,983721,201662,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7201923,-74.0019084,"(40.7201923, -74.0019084)"
26022040,07/29/2013 07:14:45 PM,07/30/2013 07:53:57 AM,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11221,309 VAN BUREN STREET,VAN BUREN STREET,LEWIS AVENUE,STUYVESANT AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,08/06/2013 07:14:45 PM,The condition was inspected and it was determined that no work order was necessary. The condition will not be inspected again for at least 90 days.,07/30/2013 07:53:34 AM,03 BROOKLYN,3016100061,BROOKLYN,1002328,191047,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6910382,-73.9348113,"(40.6910382, -73.9348113)"
31920883,11/05/2015 09:18:00 AM,11/06/2015 09:20:00 AM,DEP,Department of Environmental Protection,Water System,Other Water Problem (Use Comments) (WZZ),,11423,,,90 AVE,182 PL,90 AVENUE,182 PLACE,INTERSECTION,Hollis,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",11/06/2015 09:20:00 AM,12 QUEENS,,QUEENS,1045545,198435,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7111226,-73.7789054,"(40.7111226, -73.7789054)"
39238613,05/20/2018 03:53:34 PM,05/20/2018 04:45:01 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,,,,,EAST 168 STREET,CLAY AVENUE,INTERSECTION,BRONX,,Precinct,Closed,05/20/2018 11:53:34 PM,The Police Department responded to the complaint and determined that police action was not necessary.,05/20/2018 04:45:01 PM,04 BRONX,,BRONX,1009013,242619,PHONE,Unspecified,BRONX,,,,,,,,40.8325737,-73.9105155,"(40.8325737, -73.9105155)"
42697283,05/17/2019 11:21:22 AM,06/04/2019 03:16:38 PM,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10310,569 BARD AVENUE,BARD AVENUE,BAKER PLACE,MORRISON AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,06/16/2019 11:21:22 AM,"The Department of Transportation inspected the location more than six months ago and has notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",06/04/2019 03:16:38 PM,01 STATEN ISLAND,5002610021,STATEN ISLAND,954921,168653,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6295415,-74.105662,"(40.6295415, -74.105662)"
19891481,02/22/2011 12:00:00 AM,02/25/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10024,3 WEST 83 STREET,WEST 83 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",02/25/2011 12:00:00 AM,0 Unspecified,1011970027,Unspecified,992220,224744,UNKNOWN,Unspecified,Unspecified,,,,,,,,,,
39562843,06/26/2018 12:41:38 AM,06/26/2018 09:12:33 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10128,405 EAST 92 STREET,EAST 92 STREET,1 AVENUE,FDR DRIVE SB ENTRANCE YORK AVE,,,ADDRESS,NEW YORK,,Precinct,Closed,06/26/2018 08:41:38 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/26/2018 09:12:33 AM,08 MANHATTAN,1015730020,MANHATTAN,999093,223684,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7806247,-73.9464046,"(40.7806247, -73.9464046)"
38707149,03/16/2018 06:12:00 AM,03/19/2018 12:00:00 PM,DSNY,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,10458,2985 WEBSTER AVENUE,WEBSTER AVENUE,BOTANICAL SQUARE,,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/19/2018 12:00:00 PM,07 BRONX,2032800048,BRONX,1016748,255519,PHONE,Unspecified,BRONX,,,,,,,,40.8679553,-73.8825015,"(40.8679553, -73.8825015)"
27970420,05/03/2014 12:23:01 PM,07/04/2014 06:52:56 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11372,93-10 ROOSEVELT AVENUE,ROOSEVELT AVENUE,WHITNEY AVENUE,94 STREET,,,ADDRESS,JACKSON HEIGHTS,,N/A,Closed,07/02/2014 12:23:01 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",07/04/2014 06:40:49 AM,04 QUEENS,4015620014,QUEENS,1019434,212103,PHONE,Unspecified,QUEENS,,,,,,,,40.7487803,-73.8730176,"(40.7487803, -73.8730176)"
30598360,05/11/2015 12:00:00 AM,05/26/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Mixed Use Building,10075,516 EAST 80 STREET,EAST 80 STREET,YORK AVENUE,EAST END AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,06/10/2015 03:05:43 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action. Complaints of this type usually result in an inspection. Please call 311 in 30 days from the date of your complaint for status,05/26/2015 12:00:00 AM,08 MANHATTAN,1015760041,MANHATTAN,998287,220470,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7718044,-73.9493216,"(40.7718044, -73.9493216)"
16183241,03/10/2010 08:26:00 AM,03/10/2010 12:00:00 PM,DSNY,BCC - Manhattan,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10027,638 WEST 131 STREET,WEST 131 STREET,BROADWAY,12 AVENUE,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,03/10/2010 12:00:00 AM,09 MANHATTAN,1019970056,MANHATTAN,995820,237327,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
22873997,03/13/2012 03:23:00 PM,03/13/2012 03:23:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Cycling,,,HARLEM RVR DR,HARLEM RVR DR,179 ST W,,,,,,,N/A,Closed,,Service Request status for this request is available on the Department of Transportation?s website. Please click the ?Learn More? link below.,03/12/2012 03:23:00 PM,Unspecified MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,
19925561,02/28/2011 01:15:14 PM,02/28/2011 03:29:26 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,22-18 HIMROD STREET,HIMROD STREET,TONSOR STREET,BEND,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,02/28/2011 09:15:14 PM,The Police Department responded to the complaint and determined that police action was not necessary.,02/28/2011 03:29:26 PM,05 QUEENS,4033660014,QUEENS,1009842,198732,PHONE,Unspecified,QUEENS,,,,,,,,40.7121131,-73.9076869,"(40.7121131, -73.9076869)"
24719908,01/04/2013 02:17:00 PM,01/07/2013 12:05:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,11201,ADAMS STREET,ADAMS STREET,JOHNSON STREET,BOERUM PLACE,,,BLOCKFACE,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and installed caps and chains.,01/07/2013 12:05:00 AM,02 BROOKLYN,,BROOKLYN,987338,192380,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
23206441,05/10/2012 08:41:27 AM,05/22/2012 10:46:55 AM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11420,130-43 118 STREET,118 STREET,SUTTER AVENUE,133 AVENUE,,,ADDRESS,SOUTH OZONE PARK,,N/A,Closed,06/09/2012 09:35:27 AM,This request has been inspected and is pending prioritization for possible inclusion in the pilot program.,05/22/2012 10:46:19 AM,10 QUEENS,4117250014,QUEENS,1033964,184901,PHONE,Unspecified,QUEENS,,,,,,,,40.6740477,-73.8207785,"(40.6740477, -73.8207785)"
34286207,09/10/2016 11:03:11 PM,09/11/2016 07:24:28 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10451,331 EAST 159 STREET,EAST 159 STREET,PARK AVENUE,COURTLANDT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/11/2016 07:03:11 AM,The Police Department responded to the complaint and took action to fix the condition.,09/11/2016 07:24:28 AM,03 BRONX,2024190120,BRONX,1007293,239362,MOBILE,Unspecified,BRONX,,,,,,,,40.8236389,-73.9167421,"(40.8236389, -73.9167421)"
18425908,08/06/2010 12:00:00 AM,08/09/2010 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Vacant Lot,11377,32-28 68 STREET,68 STREET,32 AVENUE,BROOKLYN QUEENS EXPRESSWAY,,,ADDRESS,WOODSIDE,,N/A,Closed,09/05/2010 09:34:53 AM,Please contact the Department of Health and Mental Hygiene's Pest Control Services for updated status of your complaint by calling (718) 520-4974.,08/09/2010 12:00:00 AM,03 QUEENS,4011630040,QUEENS,1012280,214630,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7557418,-73.8988265,"(40.7557418, -73.8988265)"
37068071,08/30/2017 10:40:04 AM,09/29/2017 12:49:09 PM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10452,911 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/29/2017 12:49:09 PM,04 BRONX,2024760050,BRONX,1005414,241007,PHONE,Unspecified,BRONX,,,,,,,,40.8281586,-73.923526,"(40.8281586, -73.923526)"
22686305,02/09/2012 12:00:00 AM,02/14/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOW GUARDS,RESIDENTIAL BUILDING,11207,754 MILLER AVENUE,MILLER AVENUE,BEND,HEGEMAN AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,02/14/2012 12:00:00 AM,05 BROOKLYN,3043030032,BROOKLYN,1015326,180569,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
23206449,05/10/2012 06:41:41 PM,05/10/2012 08:01:08 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10030,131 WEST 137 STREET,WEST 137 STREET,LENOX AVENUE,7 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,05/11/2012 02:41:41 AM,The Police Department responded to the complaint and took action to fix the condition.,05/10/2012 08:00:44 PM,10 MANHATTAN,1020060014,MANHATTAN,1000595,236519,PHONE,Unspecified,MANHATTAN,,,,,,,,40.8158506,-73.9409499,"(40.8158506, -73.9409499)"
31132444,07/21/2015 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10468,2486 DAVIDSON AVE,DAVIDSON AVE,,,,,LATLONG,BRONX,,N/A,Assigned,08/20/2015 05:26:26 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action. Complaints of this type usually result in an inspection. Please call 311 in 30 days from the date of your complaint for status,07/23/2015 08:39:07 AM,Unspecified BRONX,,BRONX,1011542,253922,MOBILE,Unspecified,BRONX,,,,,,,,40.8635902,-73.9013291,"(40.8635902, -73.9013291)"
42964236,06/13/2019 07:54:23 AM,06/14/2019 03:36:09 PM,DOT,Department of Transportation,Sidewalk Condition,Blocked - Construction,Sidewalk,10024,122 WEST 87 STREET,WEST 87 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,,,Closed,,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",06/14/2019 07:36:09 PM,07 MANHATTAN,1012170142,MANHATTAN,991849,226194,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.7875231,-73.9725585,"(40.7875231, -73.9725585)"
29056347,10/12/2014 11:31:02 PM,10/13/2014 01:30:37 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10075,300 EAST 79 STREET,EAST 79 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/13/2014 07:31:02 AM,The Police Department responded to the complaint and took action to fix the condition.,10/13/2014 01:30:02 AM,08 MANHATTAN,1014537501,MANHATTAN,996796,220970,PHONE,Unspecified,MANHATTAN,,,,,,,,40.773179,-73.9547037,"(40.773179, -73.9547037)"
23206455,05/10/2012 09:27:52 AM,05/10/2012 12:50:36 PM,DFTA,Department for the Aging,Housing - Low Income Senior,N/A,Senior Address,10302,,,,,,,ADDRESS,STATEN ISLAND,,N/A,Closed,05/24/2012 09:27:52 AM,"The Department for the Aging contacted you and provided the assistance requested. No further updates will be available through 311. If further assistance is needed, please open a new Service Request.",05/10/2012 12:49:31 PM,01 STATEN ISLAND,,STATEN ISLAND,,,PHONE,Unspecified,STATEN ISLAND,,,,,,,,,,
42163769,04/08/2019 12:00:00 AM,04/08/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11432,89-29 163 STREET,163 STREET,89 AVENUE,JAMAICA AVENUE,,,ADDRESS,Jamaica,,N/A,Closed,05/08/2019 10:02:07 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action. Complaints of this type usually result in an inspection. Please call 311 in 30 days from the date of your complaint for status,04/08/2019 10:04:48 PM,12 QUEENS,4097930033,QUEENS,1040249,196797,ONLINE,Unspecified,QUEENS,,,,,,,,40.7066618,-73.7980219,"(40.7066618, -73.7980219)"
